marca,nome,subtitulo,categoria,quantidade,preco,beneficios,ingredientes,tipo_pele,imagem
beyoung,Água micelar hidratante,,água micelar,200ml,64.09,anti-ressecamento; controle da oleosidade; hidratação; limpeza,"água de maçã, benzoato de sódio",todos os tipos,agua-micelar-hidratante.jpg
beyoung,Gel de limpeza facial suave,,gel de limpeza,200ml,54.90,anti-ressecamento; controle da oleosidade; hidratação; limpeza,ácido cítrico; água de maçã; decil glicosídeo; fenoxietanol; glicerina; propilenoglicol,todos os tipos,gel-de-limpeza-facial-suave.jpg
beyoung,Esfoliante facial smart peeling,,Limpeza,90g,53.39,anti-ressecamento; controle da oleosidade; esfoliação; limpeza;,fenoxietanol; glicerina; goma xantana; esfoliante de bambu; sacarídeo,todos os tipos,esfoliante-facial-smart-peeling.jpg
beyoung,Gel de limpeza facial com ácido glicólico (controle de oleosidade),,esfoliante,90g,"20,95",antiacne; anti-ressecamento; controle da oleosidade; limpeza,ácido glicólico; fenoxietanol; glicerina; niacinamida; zinco; sacarídeo,oleosa; mista; acneica,gel-de-limpeza-facial-com-acido-glicolico-controle-de-oleosidade.jpg
beyoung,Stick bastão multifuncional com cor fps 80,,stick,14g,"128,29",controle da oleosidade; proteção solar; hidratação,ácido hialurônico; esqualano; sílica; vitamina c; vitamina e,mista; oleosa,stick-bastao-multifuncional-com-cor-fps-80.jpg
beyoung,Sérum facial booster multifuncional 3 em 1,,sérum,30ml,99.90,antissinais; hidratação; controle da oleosidade; proteção antipoluição,benzoato de sódio; fenoxietanol; glicerina; peptídeo de cobre,todos os tipos,serum-facial-booster-multifuncional-3-em-1.jpg
beyoung,Lip tint com ácido hialurônico (duas cores),,hidratante labial,9.4g,"49,90",hidratação,ácido hialurônico,todos os tipos,lip-tint-com-acido-hialuronico-duas-cores.jpg
beyoung,Protetor solar matte fps 30 com niacinamida (toque seco),,protetor solar,40g,69.90,antioxidante; antissinais; controle da oleosidade; luminosidade/viço,ácido cítrico; álcool cetílico; dimeticona; fenoxietanol; glicerina; goma xantana; niacinamida; alpha glucan,mista; oleosa; acneica,protetor-solar-matte-fps-30-com-niacinamida-toque-seco.jpg
beyoung,Primer facial com niacinamida e efeito lifting,,primer,30ml,"85,90",colágeno; lifting;,benzoato de sódio; fenoxietanol; glicerina; niacinamida,seca,primer-facial-com-niacinamida-e-efeito-lifting.jpg
beyoung,Sérum facial antioxidante 18% nano vitamina c + 3% esqualano,,sérum,30ml,113.20,antioxidante; antissinais; hidratação,ácido cítrico; ácido ferúlico; astaxantina; dimeticona; esqualano; fenoxietanol; glicerina; propanodiol; propilenoglicol; vitamina c,todos os tipos,serum-facial-antioxidante-18-nano-vitamina-c-3-esqualano.jpg
beyoung,Sérum facial com retinol + niacinamida,,sérum,30ml,129.90,colágeno; esfoliação; rugas profundas,ácido cítrico; ácido hialurônico; citronelol; fenoxietanol; glicerina; lecitina; niacinamida; pantenol; propanodiol; retinol,todos os tipos,serum-facial-com-retinol-niacinamida.jpg
beyoung,Sérum facial antimanchas com 10% ácido mandélico + 3% ácido tranexâmico,,sérum,30ml,119.90,controle da oleosidade; luminosidade/viço; uniformiza o tom/antimanchas: hidratação,ácido cítrico; ácido mandélico; ácido tranexâmico; alfa arbutin; citronelol; fenoxietanol; glicerina; goma xantana; niacinamida; pantenol; propanodiol,todos os tipos,serum-facial-antimanchas-com-10-acido-mandelico-3-acido-tranexamico.jpg
beyoung,"Sérum facial antiacne e oleosidade 10% ácido glicólico + 0,5% ácido salicílico.",,sérum,30ml,99.90,antiacne; anticravos; anti-ressecamento; suaviza marcas; uniformiza o tom/antimanchas,ácido glicólico; ácido salicílico; fenoxietanol; glicerina; goma xantana; pantenol; propanodiol; propilenoglicol; zinco,todos os tipos,serum-facial-antiacne-e-oleosidade-10-acido-glicolico-0-5-acido-salicilico-2.jpg
beyoung,Hidratante facial em gel com ácido hialurônico (pele refrescante),,Hidratação,30ml,65.90,antioxidante; controle da oleosidade; fortalece a barreira; hidratação,ácido hialurônico; niacinamida; alpha glucan,todos os tipos,hidratante-facial-em-gel-com-acido-hialuronico-pele-refrescante.jpg
beyoung,Protetor solar transparente fps 50,,Proteção Solar,35g,89.90,antioxidante; hidratação; proteção antipoluição,dimeticona; octocrileno; silicones,todos os tipos,protetor-solar-transparente-fps-50.jpg
beyoung,Stick bastão multifuncional incolor fps 80,,Proteção Solar,14g,128.29,controle da oleosidade; hidratação; proteção solar,óleo de aveia; vitamina e,todos os tipos,stick-bastao-multifuncional-incolor-fps-80.jpg
