marca,nome,subtitulo,categoria,quantidade,preco,beneficios,ingredientes,tipo_pele,imagem
beyoung,Água micelar hidratante,,Limpeza,200ml,32.04,anti-ressecamento; controle da oleosidade; hidratação; limpeza,água de maçã,todos os tipos,
beyoung,Gel de limpeza facial suave,,Limpeza,200ml,41.17,anti-ressecamento; controle da oleosidade; hidratação; limpeza,ácido cítrico; água de maçã; decil glicosídeo; fenoxietanol; glicerina; propilenoglicol,todos os tipos,
beyoung,Esfoliante facial smart peeling,,Limpeza,90g,40.04,anti-ressecamento; controle da oleosidade; esfoliação; limpeza; uniformiza o tom/antimanchas,fenoxietanol; glicerina; goma xantana; esfoliante de bambu; sacarídeo,todos os tipos,
beyoung,Gel de limpeza facial com ácido glicólico (controle de oleosidade),,Limpeza,90g,29.33,antiacne; anti-ressecamento; controle da oleosidade; hidratação; limpeza,ácido glicólico; fenoxietanol; glicerina; niacinamida; zinco; sacarídeo,todos os tipos,
beyoung,Lenço umedecido para limpeza facial,,Limpeza,10 unidades,10.42,controle da oleosidade; hidratação; limpeza,ácido cítrico; benzoato de sódio; decil glicosídeo; aloe vera; fenoxietanol; glicerina; vitamina e,todos os tipos,
beyoung,Hidratante facial em gel com ácido hialurônico (pele refrescante),,Limpeza,30ml,49.42,antioxidante; compatível com maquiagem; controle da oleosidade; fortalece a barreira; hidratação,ácido hialurônico; alpha glucan; niacinamida,todos os tipos,
beyoung,Sérum facial booster multifuncional 3 em 1,,Limpeza,30ml,49.95,antissinais; colágeno; controle da oleosidade; proteção antipoluição,benzoato de sódio; fenoxietanol; glicerina; peptídeo de cobre; sacarídeo,todos os tipos,
beyoung,Primer facial com niacinamida e efeito lifting,,Limpeza,30ml,42.95,colágeno; lifting; uniformiza o tom/antimanchas,benzoato de sódio; fenoxietanol; glicerina; niacinamida,todos os tipos,
beyoung,Esfoliante facial smart peeling,,Limpeza,90g,40.04,anti-ressecamento; controle da oleosidade; esfoliação; limpeza; uniformiza o tom/antimanchas,fenoxietanol; glicerina; goma xantana; esfoliante de bambu; sacarídeo,todos os tipos,
beyoung,Água micelar hidratante,,Limpeza,200ml,32.04,anti-ressecamento; controle da oleosidade; hidratação; limpeza,água de maçã,todos os tipos,
beyoung,Stick bastão multifuncional com cor fps 80,,Limpeza,14g,84.90,controle da oleosidade; proteção solar; uniformiza o tom/antimanchas,ácido hialurônico; esqualano; sílica; vitamina c; vitamina e,todos os tipos,
beyoung,Protetor solar transparente fps 50,,Limpeza,35g,67.42,antioxidante; hidratação; proteção antipoluição,dimeticona; octocrileno,todos os tipos,
beyoung,Protetor solar matte fps 30 com niacinamida (toque seco),,Limpeza,40g,34.95,antioxidante; compatível com maquiagem; controle da oleosidade,ácido cítrico; álcool cetílico; alpha glucan; dimeticona; fenoxietanol; glicerina; goma xantana; niacinamida; sacarídeo,todos os tipos,
beyoung,Primer facial com niacinamida e efeito lifting.,,Limpeza,30ml,49.90,colágeno; lifting; uniformiza o tom/antimanchas,benzoato de sódio; fenoxietanol; glicerina; niacinamida,todos os tipos,
beyoung,Sérum facial com retinol + niacinamida,,Limpeza,30ml,69.90,colágeno; esfoliação; rugas profundas,ácido cítrico; ácido hialurônico; citronelol; fenoxietanol; glicerina; lecitina; niacinamida; pantenol; propanodiol; retinol,todos os tipos,
beyoung,"Sérum facial antiacne e oleosidade 10% ácido glicólico + 0,5% ácido salicílico",,Limpeza,30ml,69.90,antiacne; anticravos; anti-ressecamento; suaviza marcas; uniformiza o tom/antimanchas,ácido glicólico; ácido salicílico; fenoxietanol; glicerina; goma xantana; pantenol; propanodiol; propilenoglicol; zinco,todos os tipos,
beyoung,Sérum facial booster multifuncional 3 em 1,,Tratamento,30ml,49.95,antissinais; colágeno; controle da oleosidade; proteção antipoluição,benzoato de sódio; fenoxietanol; glicerina; peptídeo de cobre; sacarídeo,todos os tipos,
beyoung,Sérum facial antioxidante 18% nano vitamina c + 3% esqualano,,Tratamento,30ml,69.90,antioxidante; antissinais; colágeno; hidratação; luminosidade/viço; uniformiza o tom/antimanchas,ácido cítrico; ácido ferúlico; astaxantina; dimeticona; esqualano; fenoxietanol; glicerina; propanodiol; propilenoglicol; vitamina c,todos os tipos,
beyoung,Sérum facial com retinol + niacinamida,,Tratamento,30ml,69.90,colágeno; esfoliação; rugas profundas,ácido cítrico; ácido hialurônico; citronelol; fenoxietanol; glicerina; lecitina; niacinamida; pantenol; propanodiol; retinol,todos os tipos,
