marca,nome,subtitulo,categoria,quantidade,preco,beneficios,ingredientes,tipo_pele,imagem
oceane,Mini Geladeira Branca - Skincare Fridge 4l,,tônico,4l,369.90,,,,mini-geladeira-branca-skincare-fridge-4l.jpg
oceane,Mini Geladeira Preta - Skincare Fridge Océane Edition 4l,,tônico,4l,499.90,anti-inchaço nos olhos,,,mini-geladeira-preta-skincare-fridge-oceane-edition-4l.jpg
oceane,Máscara de Cafeína para Olhos - Wake Up Patches 30un,,,,15.90,anti-inchaço nos olhos; antiolheiras (vasculares/pigmentares); antissinais; colágeno; controle da oleosidade; esfoliação; hidratação; suaviza textura; uniformiza o tom/antimanchas,ácido hialurônico; cafeína; niacinamida; peptídeos,com manchas; com olheiras; madura; oleosa,mascara-de-cafeina-para-olhos-wake-up-patches-30un.jpg
oceane,Máscara facial de romã e limão | Pomegranate and lime mask,,máscara facial,,12.90,acalma/anti-vermelhidão; antiacne; antioxidante; esfoliação; luminosidade/viço; uniformiza o tom/antimanchas,ácido cítrico; vitamina c,radiante; todos os tipos,mascara-facial-de-roma-e-limao-pomegranate-and-lime-mask.jpg
oceane,Sérum Facial com Extrato de Ginseng - Ginseng Serum 30ml,,sérum,30ml,79.90,acalma/anti-vermelhidão; antissinais; colágeno; fortalece a barreira; hidratação; luminosidade/viço; proteção solar; rugas profundas,,madura; normal; radiante; todos os tipos,serum-facial-com-extrato-de-ginseng-ginseng-serum-30ml.jpg
oceane,Hidratante Facial com Fito-Retinol e Esqualano - Bakuchiol Cream 50g,,hidratante,50g,69.90,anti-ressecamento; antissinais; colágeno; esfoliação; hidratação; luminosidade/viço; rugas profundas,esqualano; retinol,oleosa; seca,hidratante-facial-com-fito-retinol-e-esqualano-bakuchiol-cream-50g.jpg
oceane,Creme Facial Diurno - Cica Day Cream 50g,,creme,50g,74.90,acalma/anti-vermelhidão; controle da oleosidade; fortalece a barreira; hidratação; suaviza marcas,ceramidas; niacinamida,normal; oleosa; todos os tipos,creme-facial-diurno-cica-day-cream-50g.jpg
oceane,Desodorante Antiperspirante Roll-On - Travel Deodorant 50ml,,,50ml,32.90,,,normal; todos os tipos,desodorante-antiperspirante-roll-on-travel-deodorant-50ml.jpg
oceane,Balm Protetor de Mamas para Gestantes - Maternity Nipple Balm 30g,,,30g,80.90,acalma/anti-vermelhidão; anti-ressecamento,manteiga de karité,oleosa; seca,balm-protetor-de-mamas-para-gestantes-maternity-nipple-balm-30g.jpg
oceane,Gel de Limpeza Esfoliante Facial - Purifying Cleansing Gel 50ml,,gel de limpeza,50ml,32.90,controle da oleosidade; esfoliação; hidratação; limpeza; luminosidade/viço; suaviza textura,,oleosa; todos os tipos,gel-de-limpeza-esfoliante-facial-purifying-cleansing-gel-50ml.jpg
