item,freq
hidratação,63
controle da oleosidade,57
uniformiza o tom/antimanchas,35
colágeno,31
acalma/anti-vermelhidão,30
antiacne,29
anti-ressecamento,28
antioxidante,28
limpeza,27
antissinais,27
luminosidade/viço,26
rugas profundas,20
anticravos,19
esfoliação,18
compatível com maquiagem,15
fortalece a barreira,14
proteção solar,12
suaviza marcas,12
minimiza poros,8
suaviza textura,8
antiolheiras (vasculares/pigmentares),8
anti-inchaço nos olhos,7
proteção antipoluição,4
lifting,2
uniformiza o tom/antimanchas: hidratação,2
desobstrui poros,2
resultados rápidos,2
recuperação pós-procedimento,2
antiolheiras,1
antiqueda (fios),1
crescimento de cílios/sobrancelhas,1
