item,freq
niacinamida,45
glicerina,43
fenoxietanol,34
ácido glicólico,29
goma xantana,21
ácido hialurônico,19
pantenol,17
ácido cítrico,16
vitamina c,16
vitamina e,14
propanodiol,14
ácido salicílico,13
phenoxyethanol,13
esqualano,12
lecitina,12
propilenoglicol,11
zinco,11
lha,11
benzoato de sódio,10
dimeticona,9
ácido tranexâmico,8
polysorbate,8
ethylhexylglycerin,8
carnosina,8
retinol,7
manteiga de karité,7
bisabolol,6
ceramidas,6
extrato de fruta,6
decil glicosídeo,5
ácido mandélico,5
disodium edta,5
ethoxydiglycol,5
silica,5
cafeína,5
sacarídeo,4
peptídeo de cobre,4
álcool cetílico,4
alpha glucan,4
ácido ferúlico,4
astaxantina,4
citronelol,4
cyclopentasiloxane,4
melaleuca,4
sodium acrylates copolymer,4
centella-asiática,4
octocrileno,3
ácido lático,3
pullulan,3
pentylene glycol,3
